Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93.96,4.00,18.7920,394.63,3/9/2019,6:00:00 PM,Cash,375.84,4.7619,18.7920,9.5000
370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.69,9.00,25.5105,535.72,2/27/2019,5:24:00 PM,Credit card,510.21,4.7619,25.5105,8.4000
727-46-3608,B,Mandalay,Member,Female,Food and beverages,20.01,9.00,9.0045,189.09,2/6/2019,3:47:00 PM,Ewallet,180.09,4.7619,9.0045,4.1000
669-54-1719,B,Mandalay,Member,Male,Electronic accessories,18.93,6.00,5.6790,119.26,2/10/2019,12:45:00 PM,Credit card,113.58,4.7619,5.6790,8.1000
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,82.63,10.00,41.3150,867.62,3/19/2019,5:08:00 PM,Ewallet,826.30,4.7619,41.3150,7.9000
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.40,7.00,31.9900,671.79,2/3/2019,10:19:00 AM,Cash,639.80,4.7619,31.9900,9.5000
162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59,5.00,11.1475,234.10,2/10/2019,3:10:00 PM,Cash,222.95,4.7619,11.1475,8.5000
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.87,4.00,3.5740,75.05,3/22/2019,2:42:00 PM,Ewallet,71.48,4.7619,3.5740,6.5000
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.43,1.00,0.7715,16.20,1/25/2019,3:46:00 PM,Credit card,15.43,4.7619,0.7715,6.1000
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2.00,1.6160,33.94,3/7/2019,11:49:00 AM,Ewallet,32.32,4.7619,1.6160,6.5000
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8.00,34.3920,722.23,2/28/2019,7:01:00 PM,Cash,687.84,4.7619,34.3920,8.2000
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2.00,4.4340,93.11,3/27/2019,11:26:00 AM,Cash,88.68,4.7619,4.4340,5.8000
635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.60,8.00,35.8400,752.64,2/7/2019,11:28:00 AM,Ewallet,716.80,4.7619,35.8400,6.6000
817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35,10.00,36.1750,759.68,1/20/2019,3:55:00 PM,Cash,723.50,4.7619,36.1750,5.4000
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6.00,9.1830,192.84,3/12/2019,8:36:00 PM,Cash,183.66,4.7619,9.1830,9.3000
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24.74,3.00,3.7110,77.93,2/15/2019,5:47:00 PM,Credit card,74.22,4.7619,3.7110,10.0000
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6.00,16.7190,351.10,2/24/2019,10:55:00 AM,Ewallet,334.38,4.7619,16.7190,7.0000
347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,9.00,24.7815,520.41,2/3/2019,1:40:00 PM,Ewallet,495.63,4.7619,24.7815,10.0000
199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10.00,7.9050,166.01,3/6/2019,12:27:00 PM,Credit card,158.10,4.7619,7.9050,8.6000
853-23-2453,B,Mandalay,Member,Male,Health and beauty,75.74,4.00,15.1480,318.11,2/14/2019,2:35:00 PM,Cash,302.96,4.7619,15.1480,7.6000
877-22-3308,A,Yangon,Member,Male,Health and beauty,15.87,10.00,7.9350,166.64,3/13/2019,4:40:00 PM,Cash,158.70,4.7619,7.9350,5.8000
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,33.47,2.00,3.3470,70.29,2/10/2019,3:43:00 PM,Ewallet,66.94,4.7619,3.3470,6.7000
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6.00,29.2830,614.94,1/7/2019,3:01:00 PM,Ewallet,585.66,4.7619,29.2830,9.9000
232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10.00,39.3850,827.09,1/24/2019,10:04:00 AM,Cash,787.70,4.7619,39.3850,6.4000
382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1.00,0.9165,19.25,2/2/2019,6:50:00 PM,Cash,18.33,4.7619,0.9165,4.3000
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10.00,44.7400,939.54,1/6/2019,12:46:00 PM,Credit card,894.80,4.7619,44.7400,9.6000
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10.00,31.0600,652.26,2/11/2019,4:19:00 PM,Cash,621.20,4.7619,31.0600,5.9000
510-95-6347,B,Mandalay,Member,Female,Food and beverages,48.52,3.00,7.2780,152.84,3/5/2019,6:17:00 PM,Ewallet,145.56,4.7619,7.2780,4.0000
841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6.00,22.7730,478.23,3/9/2019,6:21:00 PM,Cash,455.46,4.7619,22.7730,8.7000
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,9.00,33.6015,705.63,1/22/2019,10:55:00 AM,Ewallet,672.03,4.7619,33.6015,9.4000
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10.00,20.8250,437.33,1/13/2019,5:04:00 PM,Credit card,416.50,4.7619,20.8250,5.4000
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9.00,22.0680,463.43,1/9/2019,2:20:00 PM,Credit card,441.36,4.7619,22.0680,8.6000
381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,9.00,9.0045,189.09,1/12/2019,3:48:00 PM,Credit card,180.09,4.7619,9.0045,5.7000
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78.31,10.00,39.1550,822.26,3/5/2019,4:24:00 PM,Ewallet,783.10,4.7619,39.1550,6.6000
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.38,5.00,5.0950,107.00,1/22/2019,6:56:00 PM,Cash,101.90,4.7619,5.0950,6.0000
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.19,6.00,29.7570,624.90,1/21/2019,2:42:00 PM,Credit card,595.14,4.7619,29.7570,5.5000
847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68,3.00,14.5020,304.54,1/26/2019,7:56:00 PM,Ewallet,290.04,4.7619,14.5020,6.4000
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19.25,8.00,7.7000,161.70,1/23/2019,6:37:00 PM,Ewallet,154.00,4.7619,7.7000,6.6000
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,80.36,4.00,16.0720,337.51,2/23/2019,6:45:00 PM,Credit card,321.44,4.7619,16.0720,8.3000
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48.91,5.00,12.2275,256.78,3/9/2019,10:17:00 AM,Cash,244.55,4.7619,12.2275,6.6000
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7.00,29.0710,610.49,3/5/2019,2:31:00 PM,Ewallet,581.42,4.7619,29.0710,4.0000
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5.00,19.1300,401.73,3/25/2019,10:23:00 AM,Cash,382.60,4.7619,19.1300,9.9000
633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38,7.00,17.2830,362.94,3/27/2019,8:35:00 PM,Credit card,345.66,4.7619,17.2830,7.3000
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1.00,2.1235,44.59,1/2/2019,4:57:00 PM,Cash,42.47,4.7619,2.1235,5.7000
318-68-5053,B,Mandalay,Normal,Female,Health and beauty,76.99,6.00,23.0970,485.04,2/27/2019,5:55:00 PM,Cash,461.94,4.7619,23.0970,6.1000
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4.00,9.4760,199.00,1/23/2019,10:25:00 AM,Cash,189.52,4.7619,9.4760,7.1000
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10.00,22.4300,471.03,1/26/2019,7:54:00 PM,Ewallet,448.60,4.7619,22.4300,8.2000
873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7.00,7.6930,161.55,1/10/2019,4:42:00 PM,Ewallet,153.86,4.7619,7.6930,5.1000
152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36,9.00,28.9620,608.20,3/12/2019,12:09:00 PM,Credit card,579.24,4.7619,28.9620,8.6000
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89.75,1.00,4.4875,94.24,2/6/2019,8:05:00 PM,Credit card,89.75,4.7619,4.4875,6.6000
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16,1.00,4.8580,102.02,3/8/2019,8:38:00 PM,Ewallet,97.16,4.7619,4.8580,7.2000
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.87,10.00,43.9350,922.64,3/29/2019,10:25:00 AM,Ewallet,878.70,4.7619,43.9350,5.1000
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6.00,3.7350,78.44,2/9/2019,1:11:00 PM,Cash,74.70,4.7619,3.7350,4.1000
865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75,3.00,7.9125,166.16,3/23/2019,10:16:00 AM,Ewallet,158.25,4.7619,7.9125,9.3000
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.70,6.00,24.8100,521.01,3/5/2019,6:14:00 PM,Cash,496.20,4.7619,24.8100,7.4000
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,48.71,1.00,2.4355,51.15,3/26/2019,7:20:00 PM,Cash,48.71,4.7619,2.4355,4.1000
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9.00,35.3475,742.30,3/1/2019,1:22:00 PM,Cash,706.95,4.7619,35.3475,7.2000
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9.00,10.3815,218.01,2/1/2019,11:27:00 AM,Cash,207.63,4.7619,10.3815,4.9000
212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26,6.00,17.4780,367.04,3/28/2019,4:44:00 PM,Cash,349.56,4.7619,17.4780,9.9000
716-39-1409,B,Mandalay,Normal,Male,Health and beauty,30.35,7.00,10.6225,223.07,3/19/2019,6:19:00 PM,Cash,212.45,4.7619,10.6225,8.0000
704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,10.00,44.3350,931.04,1/12/2019,2:50:00 PM,Ewallet,886.70,4.7619,44.3350,7.3000
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6.00,8.2140,172.49,1/5/2019,8:54:00 PM,Credit card,164.28,4.7619,8.2140,7.9000
630-74-5166,A,Yangon,Normal,Male,Sports and travel,62.13,6.00,18.6390,391.42,3/22/2019,8:19:00 PM,Cash,372.78,4.7619,18.6390,7.4000
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,33.98,9.00,15.2910,321.11,3/24/2019,10:43:00 AM,Cash,305.82,4.7619,15.2910,4.2000
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,81.97,10.00,40.9850,860.69,3/3/2019,2:30:00 PM,Cash,819.70,4.7619,40.9850,9.2000
479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.49,2.00,1.6490,34.63,2/5/2019,11:32:00 AM,Ewallet,32.98,4.7619,1.6490,4.6000
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98.21,3.00,14.7315,309.36,2/5/2019,10:41:00 AM,Credit card,294.63,4.7619,14.7315,7.8000
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72.84,7.00,25.4940,535.37,2/15/2019,12:44:00 PM,Cash,509.88,4.7619,25.4940,8.4000
645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07,9.00,26.1315,548.76,1/19/2019,8:07:00 PM,Ewallet,522.63,4.7619,26.1315,4.3000
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9.00,36.3555,763.47,2/1/2019,8:31:00 PM,Credit card,727.11,4.7619,36.3555,9.5000
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3.00,4.0530,85.11,3/2/2019,1:01:00 PM,Credit card,81.06,4.7619,4.0530,7.1000
291-32-1427,B,Mandalay,Member,Male,Fashion accessories,21.94,5.00,5.4850,115.19,3/5/2019,12:29:00 PM,Ewallet,109.70,4.7619,5.4850,5.3000
659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36,1.00,2.5680,53.93,1/16/2019,3:26:00 PM,Ewallet,51.36,4.7619,2.5680,5.2000
642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96,10.00,5.4800,115.08,2/2/2019,8:48:00 PM,Ewallet,109.60,4.7619,5.4800,6.0000
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.44,2.00,5.3440,112.22,1/20/2019,8:38:00 PM,Ewallet,106.88,4.7619,5.3440,4.1000
638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99.56,8.00,39.8240,836.30,2/14/2019,5:03:00 PM,Credit card,796.48,4.7619,39.8240,5.2000
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12,7.00,19.9920,419.83,1/12/2019,12:02:00 PM,Credit card,399.84,4.7619,19.9920,6.5000
219-22-9386,B,Mandalay,Member,Male,Sports and travel,99.96,9.00,44.9820,944.62,3/9/2019,5:26:00 PM,Credit card,899.64,4.7619,44.9820,4.2000
336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,63.91,8.00,25.5640,536.84,3/13/2019,7:52:00 PM,Credit card,511.28,4.7619,25.5640,4.6000
268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56.47,8.00,22.5880,474.35,3/9/2019,2:57:00 PM,Ewallet,451.76,4.7619,22.5880,7.3000
668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93.69,7.00,32.7915,688.62,3/10/2019,6:44:00 PM,Credit card,655.83,4.7619,32.7915,4.5000
870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25,5.00,8.0625,169.31,1/27/2019,1:26:00 PM,Cash,161.25,4.7619,8.0625,9.0000
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9.00,14.2785,299.85,1/8/2019,4:17:00 PM,Credit card,285.57,4.7619,14.2785,5.9000
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.54,8.00,27.4160,575.74,1/8/2019,3:57:00 PM,Ewallet,548.32,4.7619,27.4160,8.5000
549-84-7482,B,Mandalay,Normal,Female,Sports and travel,90.28,9.00,40.6260,853.15,2/8/2019,11:15:00 AM,Ewallet,812.52,4.7619,40.6260,7.2000
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62,7.00,13.8670,291.21,1/25/2019,1:18:00 PM,Cash,277.34,4.7619,13.8670,7.5000
802-70-5316,A,Yangon,Member,Female,Sports and travel,92.13,6.00,27.6390,580.42,3/6/2019,8:34:00 PM,Cash,552.78,4.7619,27.6390,8.3000
695-51-0018,B,Mandalay,Normal,Female,Sports and travel,34.84,4.00,6.9680,146.33,2/10/2019,6:36:00 PM,Cash,139.36,4.7619,6.9680,7.4000
590-83-4591,B,Mandalay,Member,Male,Electronic accessories,87.45,6.00,26.2350,550.94,2/17/2019,2:40:00 PM,Credit card,524.70,4.7619,26.2350,8.8000
483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,81.30,6.00,24.3900,512.19,3/8/2019,4:43:00 PM,Ewallet,487.80,4.7619,24.3900,5.3000
597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,90.22,3.00,13.5330,284.19,2/18/2019,7:39:00 PM,Cash,270.66,4.7619,13.5330,6.2000
700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26.31,5.00,6.5775,138.13,1/18/2019,8:59:00 PM,Credit card,131.55,4.7619,6.5775,8.8000
354-39-5160,A,Yangon,Member,Female,Home and lifestyle,34.42,6.00,10.3260,216.85,2/18/2019,3:39:00 PM,Cash,206.52,4.7619,10.3260,9.8000
241-72-9525,B,Mandalay,Normal,Male,Sports and travel,51.91,10.00,25.9550,545.06,2/16/2019,12:21:00 PM,Cash,519.10,4.7619,25.9550,8.2000
575-30-8091,A,Yangon,Normal,Male,Sports and travel,72.50,8.00,29.0000,609.00,3/16/2019,7:25:00 PM,Ewallet,580.00,4.7619,29.0000,9.2000
731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,89.80,10.00,44.9000,942.90,1/23/2019,1:00:00 PM,Credit card,898.00,4.7619,44.9000,5.4000
280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,90.50,10.00,45.2500,950.25,1/25/2019,1:48:00 PM,Cash,905.00,4.7619,45.2500,8.1000
338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,68.60,10.00,34.3000,720.30,2/5/2019,7:57:00 PM,Cash,686.00,4.7619,34.3000,9.1000
488-25-4221,C,Naypyitaw,Member,Female,Food and beverages,30.41,1.00,1.5205,31.93,2/22/2019,10:36:00 AM,Credit card,30.41,4.7619,1.5205,8.4000
239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,77.95,6.00,23.3850,491.09,1/21/2019,4:37:00 PM,Ewallet,467.70,4.7619,23.3850,8.0000
458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty,46.26,6.00,13.8780,291.44,3/8/2019,5:11:00 PM,Credit card,277.56,4.7619,13.8780,9.5000
685-64-1609,A,Yangon,Member,Female,Fashion accessories,30.14,10.00,15.0700,316.47,2/10/2019,12:28:00 PM,Ewallet,301.40,4.7619,15.0700,9.2000
568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty,66.14,4.00,13.2280,277.79,3/19/2019,12:46:00 PM,Credit card,264.56,4.7619,13.2280,5.6000
262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,71.86,8.00,28.7440,603.62,3/6/2019,3:07:00 PM,Credit card,574.88,4.7619,28.7440,6.2000
238-49-0436,A,Yangon,Normal,Male,Health and beauty,32.46,8.00,12.9840,272.66,3/27/2019,1:48:00 PM,Credit card,259.68,4.7619,12.9840,4.9000
608-96-3517,B,Mandalay,Member,Female,Fashion accessories,91.54,4.00,18.3080,384.47,3/23/2019,7:20:00 PM,Credit card,366.16,4.7619,18.3080,4.8000
584-86-7256,C,Naypyitaw,Member,Male,Sports and travel,34.56,7.00,12.0960,254.02,3/11/2019,4:07:00 PM,Credit card,241.92,4.7619,12.0960,7.3000
746-94-0204,A,Yangon,Normal,Male,Fashion accessories,83.24,9.00,37.4580,786.62,1/29/2019,11:56:00 AM,Credit card,749.16,4.7619,37.4580,7.4000
214-17-6927,C,Naypyitaw,Normal,Female,Food and beverages,16.48,6.00,4.9440,103.82,2/7/2019,6:23:00 PM,Ewallet,98.88,4.7619,4.9440,9.9000
400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,80.97,8.00,32.3880,680.15,1/28/2019,1:05:00 PM,Cash,647.76,4.7619,32.3880,9.3000
782-95-9291,A,Yangon,Member,Male,Food and beverages,92.29,5.00,23.0725,484.52,2/20/2019,3:55:00 PM,Credit card,461.45,4.7619,23.0725,9.0000
279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72.17,1.00,3.6085,75.78,1/4/2019,7:40:00 PM,Cash,72.17,4.7619,3.6085,6.1000
307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle,50.28,5.00,12.5700,263.97,3/7/2019,1:58:00 PM,Ewallet,251.40,4.7619,12.5700,9.7000
743-04-1105,B,Mandalay,Member,Male,Health and beauty,97.22,9.00,43.7490,918.73,3/30/2019,2:43:00 PM,Ewallet,874.98,4.7619,43.7490,6.0000
423-57-2993,B,Mandalay,Normal,Male,Sports and travel,93.39,6.00,28.0170,588.36,3/27/2019,7:18:00 PM,Ewallet,560.34,4.7619,28.0170,10.0000
